TimeStamp,userid,qid,qcount,hintCount,chapter,levelofdifficulty,startTime,endTime,h1time,h2time,diffh1,diffh2,wrongCount,wronghintcount,score,time
08-11-2021 13:20,8,FI2,1,0,Fraction,Intermediate,45:28.8,46:54.2,0,0,0,0,1,0,24,01:25.4
08-11-2021 13:21,8,FI2,2,0,Fraction,Intermediate,45:28.8,47:16.5,0,0,0,0,0,0,25,01:47.7
08-11-2021 13:21,8,FI2,3,1,Fraction,Intermediate,45:28.7,47:42.2,47:22.1,0,00:20.0,0,1,0,19,02:13.4
08-11-2021 13:22,8,FI2,4,0,Fraction,Intermediate,45:28.8,48:08.2,0,0,0,0,1,0,24,02:39.4
10-11-2021 14:18,8,AE4,1,0,Algebra,Easy,30:11.3,44:35.7,0,0,0,0,0,0,25,14:24.4
10-11-2021 15:57,10,AE3,1,2,Algebra,Easy,22:36.3,23:13.7,22:48.7,23:07.8,00:25.0,00:05.8,3,0,9,00:37.4
10-11-2021 15:57,10,AE3,2,2,Algebra,Easy,07:13.0,23:15.9,22:48.7,23:07.8,00:27.3,00:08.1,3,0,9,16:02.9
10-11-2021 15:57,10,AE3,3,0,Algebra,Easy,23:16.3,23:30.7,0,0,0,0,0,0,25,00:14.4
10-11-2021 15:57,10,AE3,4,0,Algebra,Easy,23:33.5,23:47.5,0,0,0,0,0,0,25,00:14.0
10-11-2021 15:58,10,AE3,1,0,Algebra,Easy,24:01.3,24:24.1,0,0,0,0,2,0,21,00:22.8
10-11-2021 15:58,10,AE3,2,0,Algebra,Easy,23:33.5,24:37.3,0,0,0,0,0,0,25,01:03.8
10-11-2021 15:58,10,AE3,3,0,Algebra,Easy,24:39.9,24:56.9,0,0,0,0,1,0,23,00:17.0
10-11-2021 15:59,10,AE3,4,0,Algebra,Easy,24:59.5,25:20.9,0,0,0,0,4,0,17,00:21.4
25-09-2021 16:54,16,AE3,1,0,Algebra,Easy,17:50.1,18:12.9,0,0,0,0,0,0,25,00:22.9
25-09-2021 16:54,8,AE3,1,0,Algebra,Easy,17:49.5,18:14.6,0,0,0,0,0,0,25,00:25.1
25-09-2021 16:54,16,AE3,2,0,Algebra,Easy,17:49.5,18:33.4,0,0,0,0,1,0,23,00:43.9
25-09-2021 16:55,8,AE3,2,1,Algebra,Easy,17:49.5,18:55.6,18:24.4,0,00:31.2,0,0,0,20,01:06.1
25-09-2021 16:55,8,AE3,3,0,Algebra,Easy,17:49.5,19:10.1,0,0,0,0,0,0,25,01:20.7
25-09-2021 16:55,8,AE3,4,0,Algebra,Easy,17:49.5,19:26.3,0,0,0,0,0,0,25,01:36.8
25-09-2021 17:10,17,AE1,1,0,Algebra,Easy,32:37.8,33:49.2,0,0,0,0,1,0,23,01:11.5
25-09-2021 17:10,17,AE1,2,0,Algebra,Easy,32:40.9,33:52.5,0,0,0,0,1,0,23,01:11.6
25-09-2021 17:12,18,FE1,1,0,Fraction,Easy,32:40.9,35:47.2,0,0,0,0,0,0,25,03:06.4
25-09-2021 17:12,18,FE1,2,0,Fraction,Easy,32:40.9,35:50.1,0,0,0,0,0,0,25,03:09.3
25-09-2021 17:12,18,FE1,3,0,Fraction,Easy,33:51.4,36:14.0,0,0,0,0,0,0,25,02:22.6
25-09-2021 17:12,18,FE1,4,0,Fraction,Easy,32:40.9,36:16.9,0,0,0,0,0,0,25,03:36.1
25-09-2021 17:12,18,FE1,1,0,Fraction,Easy,32:40.9,36:22.0,0,0,0,0,0,0,25,03:41.2
25-09-2021 17:13,18,AE3,2,0,Algebra,Easy,33:51.4,37:18.0,0,0,0,0,3,0,19,03:26.6
25-09-2021 17:23,18,FI2,1,0,Fraction,Intermediate,33:51.4,47:38.3,0,0,0,0,0,0,25,13:47.0
25-09-2021 17:23,18,FI2,2,0,Fraction,Intermediate,33:51.4,47:41.6,0,0,0,0,0,0,25,13:50.2
25-09-2021 17:24,18,FI2,3,0,Fraction,Intermediate,33:51.4,48:05.5,0,0,0,0,1,0,24,14:14.1
25-09-2021 17:24,18,FI2,4,0,Fraction,Intermediate,37:20.6,48:08.1,0,0,0,0,1,0,24,10:47.5
27-09-2021 07:07,19,FE1,1,0,Fraction,Easy,26:24.5,31:48.7,0,0,0,0,0,0,25,05:24.2
